business_unit,headcount,region,revenue_musd,return_on_sales_pct
BU01,272,EMEA,121.7,6.2
BU02,95,APAC,45.2,10.48
BU03,224,APAC,268.5,7.45
BU04,239,AMER,159.2,8.18
BU05,180,EMEA,161.3,9.85
BU06,162,EMEA,215.6,6.16
BU07,222,EMEA,155.3,8.25
BU08,228,EMEA,21.2,9.56
BU09,324,EMEA,118.9,10.43
BU10,243,APAC,73.1,8.51
BU11,238,EMEA,106.1,9.85
BU12,126,EMEA,194.5,8.21
BU13,172,EMEA,194.7,9.65
BU14,151,EMEA,155.3,7.22
BU15,270,EMEA,131.2,9.07
BU16,149,EMEA,129.1,7.39
BU17,183,APAC,184.3,13.01
BU18,170,EMEA,179.6,6.69
BU19,160,EMEA,198.3,5.97
BU20,325,AMER,41.1,7.81
BU21,178,EMEA,127.6,7.21
BU22,205,EMEA,149.4,9.54
BU23,291,EMEA,242.5,4.42
BU24,193,AMER,159.6,5.83
