respondent_id,business_unit,department,tenure_band,location,role_level,cred_01,cred_02,cred_03,cred_04,cred_05,cred_06,cred_07,cred_08,resp_01,resp_02,resp_03,resp_04,resp_05,resp_06,resp_07,resp_08,fair_01,fair_02,fair_03,fair_04,fair_05,fair_06,fair_07,fair_08,prid_01,prid_02,prid_03,prid_04,prid_05,prid_06,prid_07,prid_08,camr_01,camr_02,camr_03,camr_04,camr_05,camr_06,camr_07,camr_08,lead_01,lead_02,lead_03,lead_04,lead_05,lead_06,lead_07,lead_08,devl_01,devl_02,devl_03,devl_04,devl_05,devl_06,devl_07,devl_08,well_01,well_02,well_03,well_04,well_05,well_06,well_07,well_08,sat_01,sat_02,sat_03,sat_04
R00001,BU11,Supply Chain,3-5 years,Aarhus,Team lead,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,,4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,
R00002,BU11,Service,5-10 years,Rostock,Team lead,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,3.0,,2.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0
R00003,BU19,Operations,3-5 years,Remote,Individual contributor,3.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,,2.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,,,1.0,1.0,1.0,1.0,2.0
R00004,BU07,Finance,1-3 years,Chennai,Individual contributor,2.0,4.0,1.0,5.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,3.0,,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,,3.0,2.0,4.0,4.0,4.0,2.0,,2.0,2.0,,1.0,3.0,3.0,3.0,,2.0,5.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,,3.0,5.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0
R00005,BU15,Service,1-3 years,Pune,Individual contributor,4.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0
R00006,BU06,Service,3-5 years,Aarhus,Individual contributor,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
R00007,BU24,Sales,10+ years,Hamburg,Individual contributor,4.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,,4.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,,3.0,4.0,2.0
R00008,BU12,Operations,<1 year,Rostock,Individual contributor,5.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,2.0,1.0,5.0,5.0,,5.0,5.0,,,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,,4.0,4.0
R00009,BU13,Engineering,3-5 years,Rostock,Individual contributor,4.0,4.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0
R00010,BU06,Service,1-3 years,Pune,Manager,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0
R00011,BU07,Engineering,1-3 years,Aarhus,Individual contributor,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0
R00012,BU03,Sales,<1 year,Rostock,Team lead,4.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0
R00013,BU07,Supply Chain,10+ years,Hamburg,Manager,3.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,3.0,3.0,2.0,5.0,4.0,5.0,4.0
R00014,BU18,Sales,5-10 years,Hamburg,Individual contributor,4.0,5.0,3.0,3.0,5.0,,4.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,,4.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,2.0,2.0,,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0
R00015,BU16,Operations,1-3 years,Chennai,Individual contributor,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0
R00016,BU17,Sales,10+ years,Pune,Team lead,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,,5.0,5.0,4.0,4.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
R00017,BU15,Service,5-10 years,Rostock,Individual contributor,3.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0
