data_label,item,construct,n_answered,pct_missing,n_out_of_scale,min,max,mean,sd
SYNTHETIC DATA,cred_01,credibility,4940,1.44,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,cred_02,credibility,4951,1.22,0,1.0,5.0,3.66,1.08
SYNTHETIC DATA,cred_03,credibility,4951,1.22,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,cred_04,credibility,4944,1.36,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,cred_05,credibility,4933,1.58,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,cred_06,credibility,4955,1.14,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,cred_07,credibility,4944,1.36,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,cred_08,credibility,4925,1.74,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,resp_01,respect,4933,1.58,0,1.0,5.0,3.66,1.1
SYNTHETIC DATA,resp_02,respect,4934,1.56,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,resp_03,respect,4933,1.58,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,resp_04,respect,4919,1.86,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,resp_05,respect,4928,1.68,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,resp_06,respect,4922,1.8,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,resp_07,respect,4928,1.68,0,1.0,5.0,3.65,1.08
SYNTHETIC DATA,resp_08,respect,4924,1.76,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,fair_01,fairness,4916,1.92,43,1.0,5.0,3.66,1.08
SYNTHETIC DATA,fair_02,fairness,4905,2.13,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,fair_03,fairness,4903,2.17,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,fair_04,fairness,4918,1.88,0,1.0,5.0,3.65,1.1
SYNTHETIC DATA,fair_05,fairness,4900,2.23,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,fair_06,fairness,4905,2.13,0,1.0,5.0,3.65,1.09
SYNTHETIC DATA,fair_07,fairness,4918,1.88,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,fair_08,fairness,4907,2.09,0,1.0,5.0,3.66,1.09
SYNTHETIC DATA,prid_01,pride,4907,2.09,0,1.0,5.0,3.66,1.1
