data_label,component,eigenvalue
SYNTHETIC DATA,1,23.846
SYNTHETIC DATA,2,2.189
SYNTHETIC DATA,3,2.01
SYNTHETIC DATA,4,1.711
SYNTHETIC DATA,5,1.674
SYNTHETIC DATA,6,1.602
SYNTHETIC DATA,7,1.567
SYNTHETIC DATA,8,1.454
SYNTHETIC DATA,9,1.03
SYNTHETIC DATA,10,0.809
SYNTHETIC DATA,11,0.594
SYNTHETIC DATA,12,0.588
SYNTHETIC DATA,13,0.578
SYNTHETIC DATA,14,0.571
SYNTHETIC DATA,15,0.562
SYNTHETIC DATA,16,0.559
SYNTHETIC DATA,17,0.553
SYNTHETIC DATA,18,0.549
SYNTHETIC DATA,19,0.54
SYNTHETIC DATA,20,0.538
SYNTHETIC DATA,21,0.532
SYNTHETIC DATA,22,0.528
SYNTHETIC DATA,23,0.527
SYNTHETIC DATA,24,0.522
SYNTHETIC DATA,25,0.518
SYNTHETIC DATA,26,0.514
SYNTHETIC DATA,27,0.507
SYNTHETIC DATA,28,0.504
SYNTHETIC DATA,29,0.503
SYNTHETIC DATA,30,0.502
SYNTHETIC DATA,31,0.497
SYNTHETIC DATA,32,0.49
SYNTHETIC DATA,33,0.488
SYNTHETIC DATA,34,0.484
SYNTHETIC DATA,35,0.478
SYNTHETIC DATA,36,0.477
SYNTHETIC DATA,37,0.474
SYNTHETIC DATA,38,0.473
SYNTHETIC DATA,39,0.471
SYNTHETIC DATA,40,0.465
SYNTHETIC DATA,41,0.462
SYNTHETIC DATA,42,0.456
SYNTHETIC DATA,43,0.455
SYNTHETIC DATA,44,0.452
SYNTHETIC DATA,45,0.446
SYNTHETIC DATA,46,0.443
SYNTHETIC DATA,47,0.439
SYNTHETIC DATA,48,0.435
SYNTHETIC DATA,49,0.434
SYNTHETIC DATA,50,0.429
SYNTHETIC DATA,51,0.425
SYNTHETIC DATA,52,0.42
SYNTHETIC DATA,53,0.412
SYNTHETIC DATA,54,0.409
SYNTHETIC DATA,55,0.407
SYNTHETIC DATA,56,0.4
SYNTHETIC DATA,57,0.397
SYNTHETIC DATA,58,0.392
SYNTHETIC DATA,59,0.382
SYNTHETIC DATA,60,0.378
SYNTHETIC DATA,61,0.371
SYNTHETIC DATA,62,0.345
SYNTHETIC DATA,63,0.336
