data_label,item,intended_construct,F1,F2,F3,F4,F5,F6,F7,F8
SYNTHETIC DATA,cred_01,credibility,0.515,0.02,0.063,0.056,0.024,0.064,0.008,-0.017
SYNTHETIC DATA,cred_02,credibility,0.584,0.018,0.037,0.001,0.04,0.07,0.009,-0.023
SYNTHETIC DATA,cred_03,credibility,0.527,0.026,0.059,0.044,0.069,0.036,-0.008,-0.031
SYNTHETIC DATA,cred_04,credibility,0.399,0.004,0.028,-0.012,-0.022,0.005,-0.006,0.469
SYNTHETIC DATA,cred_05,credibility,0.612,-0.012,0.049,-0.012,0.022,0.081,0.047,0.014
SYNTHETIC DATA,cred_06,credibility,0.517,0.046,0.058,0.047,0.007,0.076,0.015,-0.034
SYNTHETIC DATA,cred_07,credibility,0.561,0.047,0.056,0.01,0.033,0.048,-0.003,-0.033
SYNTHETIC DATA,cred_08,credibility,0.52,0.047,0.023,0.053,0.054,0.054,0.016,-0.019
SYNTHETIC DATA,resp_01,respect,0.045,0.056,0.073,0.018,0.002,0.038,0.581,-0.018
SYNTHETIC DATA,resp_02,respect,0.047,0.008,0.045,0.061,0.033,0.042,0.231,-0.228
SYNTHETIC DATA,resp_03,respect,0.05,0.028,0.016,0.028,0.041,0.03,0.632,-0.017
SYNTHETIC DATA,resp_04,respect,0.036,0.041,0.041,0.04,0.036,0.033,0.624,-0.014
SYNTHETIC DATA,resp_05,respect,0.036,0.035,0.046,0.038,0.035,0.021,0.587,-0.052
SYNTHETIC DATA,resp_06,respect,-0.038,0.009,-0.02,0.012,-0.016,0.014,0.53,0.453
SYNTHETIC DATA,resp_07,respect,0.047,0.029,0.05,0.035,0.056,0.006,0.578,-0.053
SYNTHETIC DATA,resp_08,respect,0.025,0.033,0.038,0.028,0.062,0.035,0.545,-0.071
SYNTHETIC DATA,fair_01,fairness,0.058,0.025,0.021,0.03,0.056,0.568,0.066,-0.013
SYNTHETIC DATA,fair_02,fairness,0.054,0.025,0.03,0.046,0.041,0.576,0.015,-0.073
SYNTHETIC DATA,fair_03,fairness,-0.088,0.022,0.041,-0.036,0.028,0.497,0.017,0.44
SYNTHETIC DATA,fair_04,fairness,0.059,0.054,0.018,0.047,0.043,0.615,0.012,-0.023
SYNTHETIC DATA,fair_05,fairness,0.062,0.036,-0.001,0.073,0.01,0.568,0.044,-0.064
SYNTHETIC DATA,fair_06,fairness,0.046,0.073,0.037,0.024,0.029,0.559,0.041,-0.036
SYNTHETIC DATA,fair_07,fairness,0.023,0.028,0.267,0.016,0.046,0.474,0.045,0.039
SYNTHETIC DATA,fair_08,fairness,0.064,0.047,0.001,0.041,0.038,0.622,0.029,-0.004
SYNTHETIC DATA,prid_01,pride,0.017,0.681,-0.008,0.027,0.001,0.018,0.022,0.003
SYNTHETIC DATA,prid_02,pride,-0.006,0.713,-0.012,-0.006,0.015,0.021,-0.01,-0.024
SYNTHETIC DATA,prid_03,pride,0.004,0.744,-0.023,0.003,0.006,-0.012,0.026,0.013
SYNTHETIC DATA,prid_04,pride,0.013,0.763,0.0,0.021,-0.005,-0.005,-0.031,0.037
SYNTHETIC DATA,prid_05,pride,0.008,0.707,0.015,-0.012,0.016,0.006,-0.01,-0.011
SYNTHETIC DATA,prid_06,pride,-0.007,0.698,0.008,0.0,-0.009,0.004,0.02,-0.022
SYNTHETIC DATA,prid_07,pride,-0.023,0.723,0.036,-0.006,0.002,-0.028,0.007,0.008
