data_label,construct,item,n_used,mean,sd,item_total_corr,alpha_if_deleted,decision
SYNTHETIC DATA,credibility,cred_01,4339,3.644,1.093,0.627,0.85,kept
SYNTHETIC DATA,credibility,cred_02,4339,3.649,1.086,0.661,0.847,kept
SYNTHETIC DATA,credibility,cred_03,4339,3.644,1.091,0.636,0.849,kept
SYNTHETIC DATA,credibility,cred_04,4339,2.36,1.106,0.418,0.873,kept
SYNTHETIC DATA,credibility,cred_05,4339,3.639,1.091,0.681,0.844,kept
SYNTHETIC DATA,credibility,cred_06,4339,3.642,1.1,0.637,0.849,kept
SYNTHETIC DATA,credibility,cred_07,4339,3.636,1.085,0.651,0.848,kept
SYNTHETIC DATA,credibility,cred_08,4339,3.635,1.091,0.651,0.848,kept
SYNTHETIC DATA,respect,resp_01,4227,3.64,1.104,0.657,0.823,kept
SYNTHETIC DATA,respect,resp_02,4227,3.64,1.104,0.313,0.864,kept
SYNTHETIC DATA,respect,resp_03,4227,3.636,1.102,0.686,0.82,kept
SYNTHETIC DATA,respect,resp_04,4227,3.638,1.104,0.695,0.818,kept
SYNTHETIC DATA,respect,resp_05,4227,3.657,1.093,0.65,0.824,kept
SYNTHETIC DATA,respect,resp_06,4227,2.361,1.091,0.461,0.847,kept
SYNTHETIC DATA,respect,resp_07,4227,3.629,1.094,0.645,0.825,kept
SYNTHETIC DATA,respect,resp_08,4227,3.638,1.096,0.612,0.829,kept
SYNTHETIC DATA,fairness,fair_01,4075,3.649,1.087,0.668,0.865,kept
SYNTHETIC DATA,fairness,fair_02,4075,3.64,1.096,0.638,0.868,kept
SYNTHETIC DATA,fairness,fair_03,4075,2.368,1.102,0.476,0.884,kept
SYNTHETIC DATA,fairness,fair_04,4075,3.64,1.11,0.7,0.862,kept
SYNTHETIC DATA,fairness,fair_05,4075,3.64,1.103,0.642,0.868,kept
SYNTHETIC DATA,fairness,fair_06,4075,3.646,1.088,0.659,0.866,kept
SYNTHETIC DATA,fairness,fair_07,4075,3.641,1.094,0.699,0.862,kept
SYNTHETIC DATA,fairness,fair_08,4075,3.645,1.104,0.7,0.862,kept
SYNTHETIC DATA,pride,prid_01,4026,3.661,1.102,0.675,0.879,kept
SYNTHETIC DATA,pride,prid_02,4026,3.644,1.098,0.66,0.881,kept
SYNTHETIC DATA,pride,prid_03,4026,3.661,1.1,0.691,0.878,kept
SYNTHETIC DATA,pride,prid_04,4026,3.651,1.096,0.705,0.877,kept
SYNTHETIC DATA,pride,prid_05,4026,3.655,1.1,0.671,0.88,kept
SYNTHETIC DATA,pride,prid_06,4026,3.648,1.098,0.66,0.881,kept
SYNTHETIC DATA,pride,prid_07,4026,3.665,1.111,0.659,0.881,kept
SYNTHETIC DATA,pride,prid_08,4026,3.664,1.103,0.646,0.882,kept
SYNTHETIC DATA,camaraderie,camr_01,3908,3.637,1.084,0.643,0.865,kept
SYNTHETIC DATA,camaraderie,camr_02,3908,3.642,1.104,0.692,0.86,kept
SYNTHETIC DATA,camaraderie,camr_03,3908,3.647,1.096,0.653,0.864,kept
SYNTHETIC DATA,camaraderie,camr_04,3908,3.658,1.108,0.704,0.859,kept
SYNTHETIC DATA,camaraderie,camr_05,3908,3.639,1.091,0.653,0.864,kept
SYNTHETIC DATA,camaraderie,camr_06,3908,3.651,1.095,0.734,0.855,kept
SYNTHETIC DATA,camaraderie,camr_07,3908,3.65,1.093,0.624,0.867,kept
SYNTHETIC DATA,camaraderie,camr_08,3908,2.362,1.087,0.448,0.884,kept
SYNTHETIC DATA,leadership,lead_01,3765,3.632,1.091,0.648,0.862,kept
SYNTHETIC DATA,leadership,lead_02,3765,3.622,1.115,0.663,0.86,kept
SYNTHETIC DATA,leadership,lead_03,3765,3.618,1.111,0.659,0.86,kept
SYNTHETIC DATA,leadership,lead_04,3765,3.629,1.095,0.668,0.86,kept
SYNTHETIC DATA,leadership,lead_05,3765,3.642,1.104,0.677,0.859,kept
SYNTHETIC DATA,leadership,lead_06,3765,3.623,1.094,0.671,0.859,kept
SYNTHETIC DATA,leadership,lead_07,3765,2.348,1.095,0.441,0.883,kept
SYNTHETIC DATA,leadership,lead_08,3765,3.643,1.09,0.691,0.857,kept
SYNTHETIC DATA,development,devl_01,3687,3.613,1.091,0.654,0.85,kept
SYNTHETIC DATA,development,devl_02,3687,3.627,1.093,0.665,0.848,kept
SYNTHETIC DATA,development,devl_03,3687,3.636,1.103,0.695,0.845,kept
SYNTHETIC DATA,development,devl_04,3687,3.627,1.093,0.291,0.887,DROPPED
SYNTHETIC DATA,development,devl_05,3687,3.631,1.095,0.675,0.847,kept
SYNTHETIC DATA,development,devl_06,3687,3.632,1.105,0.685,0.846,kept
SYNTHETIC DATA,development,devl_07,3687,3.624,1.096,0.642,0.851,kept
SYNTHETIC DATA,development,devl_08,3687,3.642,1.091,0.694,0.845,kept
SYNTHETIC DATA,wellbeing,well_01,3526,3.632,1.082,0.694,0.859,kept
SYNTHETIC DATA,wellbeing,well_02,3526,3.645,1.091,0.654,0.863,kept
SYNTHETIC DATA,wellbeing,well_03,3526,3.647,1.086,0.633,0.865,kept
SYNTHETIC DATA,wellbeing,well_04,3526,3.647,1.091,0.657,0.863,kept
SYNTHETIC DATA,wellbeing,well_05,3526,2.352,1.1,0.48,0.881,kept
SYNTHETIC DATA,wellbeing,well_06,3526,3.635,1.092,0.639,0.865,kept
SYNTHETIC DATA,wellbeing,well_07,3526,3.658,1.081,0.653,0.863,kept
SYNTHETIC DATA,wellbeing,well_08,3526,3.646,1.089,0.733,0.855,kept
