data_label,construct,grouping,group1,group2,meandiff,p-adj,lower,upper,reject
SYNTHETIC DATA,pride,tenure_band,1-3 years,10+ years,0.0267,0.953,-0.0752,0.1286,False
SYNTHETIC DATA,pride,tenure_band,1-3 years,3-5 years,-0.1316,0.0023,-0.2296,-0.0337,True
SYNTHETIC DATA,pride,tenure_band,1-3 years,5-10 years,-0.1264,0.0024,-0.2207,-0.0322,True
SYNTHETIC DATA,pride,tenure_band,1-3 years,<1 year,0.1371,0.007,0.0258,0.2483,True
SYNTHETIC DATA,pride,tenure_band,10+ years,3-5 years,-0.1584,0.0004,-0.2639,-0.0528,True
SYNTHETIC DATA,pride,tenure_band,10+ years,5-10 years,-0.1531,0.0004,-0.2553,-0.051,True
SYNTHETIC DATA,pride,tenure_band,10+ years,<1 year,0.1103,0.0798,-0.0077,0.2284,False
SYNTHETIC DATA,pride,tenure_band,3-5 years,5-10 years,0.0052,0.9999,-0.093,0.1034,False
SYNTHETIC DATA,pride,tenure_band,3-5 years,<1 year,0.2687,0.0,0.1541,0.3833,True
SYNTHETIC DATA,pride,tenure_band,5-10 years,<1 year,0.2635,0.0,0.152,0.375,True
SYNTHETIC DATA,leadership,location,Aarhus,Chennai,-0.2657,0.0,-0.3869,-0.1446,True
SYNTHETIC DATA,leadership,location,Aarhus,Hamburg,-0.0739,0.4401,-0.1884,0.0406,False
SYNTHETIC DATA,leadership,location,Aarhus,Pune,-0.0114,0.9998,-0.1279,0.105,False
SYNTHETIC DATA,leadership,location,Aarhus,Remote,-0.2127,0.0,-0.3408,-0.0846,True
SYNTHETIC DATA,leadership,location,Aarhus,Rostock,-0.1368,0.0285,-0.265,-0.0086,True
SYNTHETIC DATA,leadership,location,Chennai,Hamburg,0.1919,0.0,0.0859,0.2978,True
SYNTHETIC DATA,leadership,location,Chennai,Pune,0.2543,0.0,0.1462,0.3624,True
SYNTHETIC DATA,leadership,location,Chennai,Remote,0.053,0.8092,-0.0674,0.1735,False
SYNTHETIC DATA,leadership,location,Chennai,Rostock,0.1289,0.0281,0.0083,0.2496,True
SYNTHETIC DATA,leadership,location,Hamburg,Pune,0.0624,0.4853,-0.0381,0.163,False
SYNTHETIC DATA,leadership,location,Hamburg,Remote,-0.1388,0.0068,-0.2526,-0.025,True
SYNTHETIC DATA,leadership,location,Hamburg,Rostock,-0.0629,0.6157,-0.1769,0.051,False
SYNTHETIC DATA,leadership,location,Pune,Remote,-0.2013,0.0,-0.317,-0.0855,True
SYNTHETIC DATA,leadership,location,Pune,Rostock,-0.1254,0.0252,-0.2413,-0.0094,True
SYNTHETIC DATA,leadership,location,Remote,Rostock,0.0759,0.5345,-0.0517,0.2035,False
SYNTHETIC DATA,development,department,Engineering,Finance,-0.0314,0.9969,-0.1861,0.1234,False
SYNTHETIC DATA,development,department,Engineering,HR,0.047,0.9808,-0.1181,0.2121,False
SYNTHETIC DATA,development,department,Engineering,Operations,-0.2115,0.0,-0.3164,-0.1066,True
SYNTHETIC DATA,development,department,Engineering,Sales,-0.1383,0.0217,-0.2649,-0.0117,True
SYNTHETIC DATA,development,department,Engineering,Service,-0.1606,0.0007,-0.2753,-0.0459,True
SYNTHETIC DATA,development,department,Engineering,Supply Chain,-0.2033,0.0,-0.3257,-0.0808,True
SYNTHETIC DATA,development,department,Finance,HR,0.0784,0.9163,-0.1247,0.2814,False
SYNTHETIC DATA,development,department,Finance,Operations,-0.1801,0.0137,-0.3381,-0.0222,True
SYNTHETIC DATA,development,department,Finance,Sales,-0.1069,0.5333,-0.2801,0.0662,False
SYNTHETIC DATA,development,department,Finance,Service,-0.1292,0.2369,-0.2939,0.0354,False
SYNTHETIC DATA,development,department,Finance,Supply Chain,-0.1719,0.0458,-0.342,-0.0017,True
SYNTHETIC DATA,development,department,HR,Operations,-0.2585,0.0001,-0.4267,-0.0904,True
SYNTHETIC DATA,development,department,HR,Sales,-0.1853,0.0438,-0.3677,-0.0028,True
SYNTHETIC DATA,development,department,HR,Service,-0.2076,0.0082,-0.382,-0.0332,True
SYNTHETIC DATA,development,department,HR,Supply Chain,-0.2503,0.0008,-0.4299,-0.0706,True
SYNTHETIC DATA,development,department,Operations,Sales,0.0732,0.646,-0.0572,0.2037,False
SYNTHETIC DATA,development,department,Operations,Service,0.0509,0.8689,-0.068,0.1699,False
SYNTHETIC DATA,development,department,Operations,Supply Chain,0.0083,1.0,-0.1182,0.1347,False
SYNTHETIC DATA,development,department,Sales,Service,-0.0223,0.9992,-0.1607,0.1162,False
SYNTHETIC DATA,development,department,Sales,Supply Chain,-0.065,0.8419,-0.2099,0.08,False
SYNTHETIC DATA,development,department,Service,Supply Chain,-0.0427,0.967,-0.1774,0.092,False
SYNTHETIC DATA,wellbeing,location,Aarhus,Chennai,-0.4414,0.0,-0.5621,-0.3207,True
SYNTHETIC DATA,wellbeing,location,Aarhus,Hamburg,-0.1376,0.0078,-0.2517,-0.0235,True
SYNTHETIC DATA,wellbeing,location,Aarhus,Pune,-0.0373,0.9423,-0.1534,0.0787,False
SYNTHETIC DATA,wellbeing,location,Aarhus,Remote,-0.2466,0.0,-0.3742,-0.119,True
SYNTHETIC DATA,wellbeing,location,Aarhus,Rostock,-0.2206,0.0,-0.3484,-0.0929,True
SYNTHETIC DATA,wellbeing,location,Chennai,Hamburg,0.3038,0.0,0.1983,0.4094,True
SYNTHETIC DATA,wellbeing,location,Chennai,Pune,0.4041,0.0,0.2964,0.5118,True
SYNTHETIC DATA,wellbeing,location,Chennai,Remote,0.1948,0.0001,0.0748,0.3148,True
SYNTHETIC DATA,wellbeing,location,Chennai,Rostock,0.2208,0.0,0.1006,0.3409,True
SYNTHETIC DATA,wellbeing,location,Hamburg,Pune,0.1003,0.0496,0.0001,0.2004,True
SYNTHETIC DATA,wellbeing,location,Hamburg,Remote,-0.109,0.0674,-0.2223,0.0043,False
SYNTHETIC DATA,wellbeing,location,Hamburg,Rostock,-0.0831,0.2947,-0.1966,0.0304,False
SYNTHETIC DATA,wellbeing,location,Pune,Remote,-0.2093,0.0,-0.3246,-0.0939,True
SYNTHETIC DATA,wellbeing,location,Pune,Rostock,-0.1833,0.0001,-0.2988,-0.0678,True
SYNTHETIC DATA,wellbeing,location,Remote,Rostock,0.026,0.9922,-0.1011,0.153,False
