data_label,term,coefficient,robust_se,t,p_value,ci_low,ci_high
SYNTHETIC DATA,const,0.2262,0.0655,3.454,0.0005527682928076797,0.0978,0.3546
SYNTHETIC DATA,credibility,0.1099,0.0215,5.112,3.1906804084736006e-07,0.0678,0.152
SYNTHETIC DATA,respect,0.1063,0.0202,5.27,1.3655739620472964e-07,0.0667,0.1458
SYNTHETIC DATA,fairness,0.1986,0.0197,10.077,7.007746442484565e-24,0.16,0.2372
SYNTHETIC DATA,pride,0.1621,0.0185,8.766,1.856012305615422e-18,0.1259,0.1984
SYNTHETIC DATA,camaraderie,0.0445,0.0192,2.319,0.020399680650589464,0.0069,0.0821
SYNTHETIC DATA,leadership,0.2111,0.0216,9.752,1.8142833396633676e-22,0.1686,0.2535
SYNTHETIC DATA,development,0.0645,0.0184,3.497,0.0004702722445861267,0.0283,0.1006
SYNTHETIC DATA,wellbeing,0.0549,0.0196,2.796,0.005173919451917266,0.0164,0.0933
SYNTHETIC DATA,department_Finance,0.0201,0.0427,0.471,0.6378822896306708,-0.0636,0.1039
SYNTHETIC DATA,department_HR,-0.0643,0.047,-1.368,0.17116079829211706,-0.1563,0.0278
SYNTHETIC DATA,department_Operations,0.0343,0.029,1.182,0.23715157606944304,-0.0225,0.0911
SYNTHETIC DATA,department_Sales,-0.0431,0.0356,-1.213,0.22514597769552147,-0.1128,0.0266
SYNTHETIC DATA,department_Service,0.0105,0.0308,0.342,0.7327257467201556,-0.0498,0.0708
SYNTHETIC DATA,department_Supply Chain,0.0475,0.0336,1.417,0.15650209311537777,-0.0182,0.1133
SYNTHETIC DATA,tenure_band_10+ years,0.0248,0.0311,0.799,0.42414017071613985,-0.0361,0.0857
SYNTHETIC DATA,tenure_band_3-5 years,0.0174,0.0297,0.585,0.5583468294406773,-0.0409,0.0757
SYNTHETIC DATA,tenure_band_5-10 years,0.0162,0.0283,0.573,0.5666484506434142,-0.0392,0.0716
SYNTHETIC DATA,tenure_band_<1 year,0.0229,0.0339,0.675,0.4996640841310406,-0.0436,0.0893
SYNTHETIC DATA,location_Chennai,0.0408,0.0366,1.115,0.2649455915092085,-0.031,0.1126
SYNTHETIC DATA,location_Hamburg,0.0419,0.0339,1.237,0.21622583920914717,-0.0245,0.1083
SYNTHETIC DATA,location_Pune,-0.008,0.0345,-0.232,0.8165739742453639,-0.0755,0.0596
SYNTHETIC DATA,location_Remote,0.0196,0.0382,0.514,0.6069688315729699,-0.0552,0.0945
SYNTHETIC DATA,location_Rostock,-0.019,0.0379,-0.501,0.616106465895177,-0.0933,0.0553
SYNTHETIC DATA,role_level_Manager,0.1121,0.0292,3.836,0.0001250415800696396,0.0548,0.1694
SYNTHETIC DATA,role_level_Senior manager,0.2095,0.0491,4.269,1.9617068326798353e-05,0.1133,0.3057
SYNTHETIC DATA,role_level_Team lead,0.043,0.0246,1.747,0.08068075724615137,-0.0053,0.0913
