data_label,unit_removed,r_without_unit,p_without_unit,still_significant,r_all_units,shift_from_full
SYNTHETIC DATA,BU17,0.3498,0.1018403360147575,False,0.4482,-0.0984
SYNTHETIC DATA,BU23,0.3877,0.0675693004882793,False,0.4482,-0.0605
SYNTHETIC DATA,BU09,0.4014,0.057639538131949,False,0.4482,-0.0468
SYNTHETIC DATA,BU06,0.403,0.0565742871694707,False,0.4482,-0.0452
SYNTHETIC DATA,BU05,0.4197,0.046180550153823,True,0.4482,-0.0285
SYNTHETIC DATA,BU08,0.4273,0.0419976774155032,True,0.4482,-0.0209
SYNTHETIC DATA,BU18,0.435,0.0380329420553994,True,0.4482,-0.0132
SYNTHETIC DATA,BU14,0.4376,0.0367866859500911,True,0.4482,-0.0106
SYNTHETIC DATA,BU22,0.4404,0.0354642734305195,True,0.4482,-0.0078
SYNTHETIC DATA,BU03,0.444,0.0338270636597931,True,0.4482,-0.0042
SYNTHETIC DATA,BU15,0.4441,0.0337427410916583,True,0.4482,-0.0041
SYNTHETIC DATA,BU04,0.4482,0.0319511712410477,True,0.4482,0.0
SYNTHETIC DATA,BU20,0.4494,0.0314362704864908,True,0.4482,0.0012
SYNTHETIC DATA,BU10,0.4497,0.031327208279166,True,0.4482,0.0015
SYNTHETIC DATA,BU07,0.4499,0.0312538025776884,True,0.4482,0.0017
SYNTHETIC DATA,BU12,0.4548,0.0292135942766227,True,0.4482,0.0066
SYNTHETIC DATA,BU19,0.4561,0.0287156470595968,True,0.4482,0.0079
SYNTHETIC DATA,BU21,0.4634,0.0259422259223543,True,0.4482,0.0152
SYNTHETIC DATA,BU16,0.4753,0.0219045960691649,True,0.4482,0.0271
SYNTHETIC DATA,BU24,0.4785,0.0209169362769158,True,0.4482,0.0303
SYNTHETIC DATA,BU01,0.4847,0.0190709400356444,True,0.4482,0.0365
SYNTHETIC DATA,BU13,0.4953,0.0162580445375899,True,0.4482,0.0471
SYNTHETIC DATA,BU02,0.5074,0.0134613791856444,True,0.4482,0.0592
SYNTHETIC DATA,BU11,0.5334,0.008764892448377,True,0.4482,0.0852
