data_label,construct,n_units,pearson_r,r_ci_low,r_ci_high,p_raw,p_adjusted_bh,significant_after_correction
SYNTHETIC DATA,camaraderie,24,0.469,0.081,0.734,0.0207878566710146,0.0439055190192319,True
SYNTHETIC DATA,fairness,24,0.465,0.076,0.731,0.0219350414942901,0.0439055190192319,True
SYNTHETIC DATA,respect,24,0.455,0.063,0.725,0.0254307568439826,0.0439055190192319,True
SYNTHETIC DATA,culture_index,24,0.448,0.055,0.721,0.0280563422984074,0.0439055190192319,True
SYNTHETIC DATA,leadership,24,0.445,0.05,0.719,0.0295317267946956,0.0439055190192319,True
SYNTHETIC DATA,credibility,24,0.441,0.046,0.717,0.030961635038284,0.0439055190192319,True
SYNTHETIC DATA,pride,24,0.434,0.037,0.713,0.0340211668839592,0.0439055190192319,True
SYNTHETIC DATA,development,24,0.427,0.029,0.708,0.0374078514752492,0.0439055190192319,True
SYNTHETIC DATA,wellbeing,24,0.423,0.023,0.706,0.0395149671173087,0.0439055190192319,True
SYNTHETIC DATA,satisfaction,24,0.381,-0.026,0.68,0.0662227852083166,0.0662227852083166,False
