data_label,business_unit,credibility,respect,fairness,pride,camaraderie,leadership,development,wellbeing,satisfaction,n_respondents,culture_index,headcount,region,revenue_musd,return_on_sales_pct,culture_index_sd,culture_index_se,culture_ci_low,culture_ci_high
SYNTHETIC DATA,BU01,3.549051199427139,3.6086197636949517,3.6401942355889725,3.7981784819190834,3.5795068027210886,3.6045694593626925,3.7559971356963837,3.602703186537773,3.761278195488722,266,3.6423525331185105,272,EMEA,121.7,6.2,0.5904474118013707,0.03620265360725001,3.5713953320483003,3.7133097341887207
SYNTHETIC DATA,BU02,3.3206521739130435,3.37597049689441,3.2533643892339543,3.428506728778468,3.237383540372671,3.358307453416149,3.337577639751553,3.3315864389233956,3.378205128205128,92,3.330418607660455,95,APAC,45.2,10.48,0.7280762172215076,0.07590719291141708,3.181640509554078,3.4791967057668325
SYNTHETIC DATA,BU03,3.098804087845184,3.2287181996086103,3.1386986301369864,3.297852794085671,3.1240215264187867,3.096678625788215,3.225679495542509,3.0645520765383782,3.256849315068493,219,3.1593756794955423,224,APAC,268.5,7.45,0.6557217757352752,0.044309571369481056,3.0725289196113597,3.246222439379725
SYNTHETIC DATA,BU04,3.446377478029839,3.4528663396689145,3.512262415695892,3.606258941344778,3.4983905579399144,3.5158389536071937,3.7085428162681384,3.464898835070509,3.5711731044349073,233,3.5256795422031475,239,AMER,159.2,8.18,0.583042506558625,0.038196384592532044,3.4508146284017847,3.6005444560045103
SYNTHETIC DATA,BU05,3.8408340214698593,3.861512524084778,3.903041563446188,4.022846132672722,3.81055601431324,3.800578034682081,4.008808147536471,3.872942471786402,4.0271317829457365,173,3.8901398637489675,180,EMEA,161.3,9.85,0.49332229418310986,0.037506599491589035,3.816626928745453,3.963652798752482
SYNTHETIC DATA,BU06,3.02638762511374,3.0348043676069154,2.9971565059144676,3.089513193812557,3.052024567788899,2.9885122838944493,3.261085835608129,3.0219896875947834,3.288747346072187,157,3.0589342584167425,162,EMEA,215.6,6.16,0.6461069871348334,0.051564951239520124,2.957866953987283,3.160001562846202
SYNTHETIC DATA,BU07,3.3505537098560354,3.36140642303433,3.410548172757475,3.530841638981174,3.4439590254706536,3.377569213732005,3.548106312292359,3.346234772978959,3.5647286821705424,215,3.421152408637874,222,EMEA,155.3,8.25,0.6229027714163579,0.04248161641464263,3.3378884404651745,3.5044163768105734
SYNTHETIC DATA,BU08,3.8297455968688845,3.8661665579473796,3.8112089584692326,4.001358991085018,3.877337464666232,3.8810611002391826,4.038530115242444,3.879838008262666,3.9444444444444446,219,3.89815584909763,228,EMEA,21.2,9.56,0.5754386366593013,0.038884539576593054,3.821942151527508,3.974369546667752
SYNTHETIC DATA,BU09,3.8801686818928203,3.8525339602925808,3.930791909240185,4.054429765636662,3.872514554411106,3.9054709658157933,4.056426332288401,3.880187341394238,4.037617554858934,319,3.9290654388714734,324,EMEA,118.9,10.43,0.5334881845515731,0.02986960392138605,3.870521015185557,3.98760986255739
SYNTHETIC DATA,BU10,3.7202636419374615,3.7120376047414676,3.6907725321888414,3.8649856938483547,3.6645156345800123,3.705778663396689,3.850725526262007,3.760755160433272,3.880543633762518,233,3.746229307173513,243,APAC,73.1,8.51,0.5867979584788998,0.03844241242798482,3.670882178814663,3.821576435532363
