data_label,respondent_id,department,tenure_band,location,role_level,business_unit,construct,score
SYNTHETIC DATA,R00001,Supply Chain,3-5 years,Aarhus,Team lead,BU11,credibility,3.875
SYNTHETIC DATA,R00002,Service,5-10 years,Rostock,Team lead,BU11,credibility,3.375
SYNTHETIC DATA,R00003,Operations,3-5 years,Remote,Individual contributor,BU19,credibility,2.25
SYNTHETIC DATA,R00004,Finance,1-3 years,Chennai,Individual contributor,BU07,credibility,2.125
SYNTHETIC DATA,R00005,Service,1-3 years,Pune,Individual contributor,BU15,credibility,2.625
SYNTHETIC DATA,R00006,Service,3-5 years,Aarhus,Individual contributor,BU06,credibility,4.5
SYNTHETIC DATA,R00007,Sales,10+ years,Hamburg,Individual contributor,BU24,credibility,3.375
SYNTHETIC DATA,R00008,Operations,<1 year,Rostock,Individual contributor,BU12,credibility,4.625
SYNTHETIC DATA,R00009,Engineering,3-5 years,Rostock,Individual contributor,BU13,credibility,3.375
SYNTHETIC DATA,R00010,Service,1-3 years,Pune,Manager,BU06,credibility,3.25
SYNTHETIC DATA,R00011,Engineering,1-3 years,Aarhus,Individual contributor,BU07,credibility,4.125
SYNTHETIC DATA,R00012,Sales,<1 year,Rostock,Team lead,BU03,credibility,2.5
SYNTHETIC DATA,R00013,Supply Chain,10+ years,Hamburg,Manager,BU07,credibility,3.7142857142857144
SYNTHETIC DATA,R00014,Sales,5-10 years,Hamburg,Individual contributor,BU18,credibility,3.857142857142857
SYNTHETIC DATA,R00015,Operations,1-3 years,Chennai,Individual contributor,BU16,credibility,3.5
SYNTHETIC DATA,R00016,Sales,10+ years,Pune,Team lead,BU17,credibility,2.625
SYNTHETIC DATA,R00017,Service,5-10 years,Rostock,Individual contributor,BU15,credibility,4.125
SYNTHETIC DATA,R00018,Service,3-5 years,Remote,Manager,BU11,credibility,3.25
SYNTHETIC DATA,R00019,Supply Chain,10+ years,Aarhus,Team lead,BU24,credibility,4.0
SYNTHETIC DATA,R00020,Operations,5-10 years,Aarhus,Manager,BU19,credibility,4.875
SYNTHETIC DATA,R00021,Operations,10+ years,Hamburg,Individual contributor,BU10,credibility,3.25
SYNTHETIC DATA,R00022,Operations,<1 year,Rostock,Team lead,BU19,credibility,3.375
SYNTHETIC DATA,R00023,Finance,5-10 years,Hamburg,Individual contributor,BU19,credibility,1.5
SYNTHETIC DATA,R00024,Service,10+ years,Hamburg,Individual contributor,BU20,credibility,4.375
SYNTHETIC DATA,R00025,Engineering,10+ years,Chennai,Manager,BU15,credibility,3.857142857142857
SYNTHETIC DATA,R00026,Supply Chain,5-10 years,Pune,Individual contributor,BU09,credibility,2.5
SYNTHETIC DATA,R00027,Finance,<1 year,Remote,Team lead,BU15,credibility,2.625
SYNTHETIC DATA,R00028,Operations,5-10 years,Chennai,Individual contributor,BU08,credibility,3.375
SYNTHETIC DATA,R00029,Operations,1-3 years,Remote,Individual contributor,BU15,credibility,2.625
SYNTHETIC DATA,R00030,Service,1-3 years,Hamburg,Individual contributor,BU10,credibility,4.428571428571429
SYNTHETIC DATA,R00031,Engineering,5-10 years,Pune,Individual contributor,BU11,credibility,4.25
SYNTHETIC DATA,R00032,Operations,5-10 years,Hamburg,Individual contributor,BU20,credibility,3.625
SYNTHETIC DATA,R00033,Service,5-10 years,Aarhus,Senior manager,BU01,credibility,2.5
SYNTHETIC DATA,R00034,Service,1-3 years,Pune,Individual contributor,BU24,credibility,3.25
SYNTHETIC DATA,R00036,Engineering,10+ years,Aarhus,Manager,BU18,credibility,4.5
SYNTHETIC DATA,R00037,Finance,<1 year,Remote,Manager,BU18,credibility,3.25
SYNTHETIC DATA,R00038,Operations,10+ years,Aarhus,Individual contributor,BU09,credibility,4.571428571428571
SYNTHETIC DATA,R00039,Finance,10+ years,Pune,Individual contributor,BU03,credibility,1.75
SYNTHETIC DATA,R00040,Engineering,10+ years,Pune,Individual contributor,BU08,credibility,3.375
SYNTHETIC DATA,R00041,Sales,1-3 years,Pune,Individual contributor,BU18,credibility,3.5
SYNTHETIC DATA,R00042,Service,3-5 years,Pune,Individual contributor,BU20,credibility,3.375
SYNTHETIC DATA,R00043,Engineering,3-5 years,Hamburg,Individual contributor,BU24,credibility,3.125
SYNTHETIC DATA,R00044,HR,<1 year,Chennai,Team lead,BU01,credibility,4.125
SYNTHETIC DATA,R00045,Sales,<1 year,Aarhus,Individual contributor,BU07,credibility,3.5
SYNTHETIC DATA,R00046,Supply Chain,5-10 years,Aarhus,Team lead,BU09,credibility,4.625
SYNTHETIC DATA,R00047,Operations,10+ years,Rostock,Team lead,BU10,credibility,3.25
SYNTHETIC DATA,R00048,Service,5-10 years,Remote,Individual contributor,BU08,credibility,4.0
SYNTHETIC DATA,R00049,Operations,3-5 years,Rostock,Individual contributor,BU24,credibility,3.4285714285714284
SYNTHETIC DATA,R00050,Supply Chain,5-10 years,Chennai,Team lead,BU15,credibility,4.25
SYNTHETIC DATA,R00051,Operations,5-10 years,Hamburg,Team lead,BU20,credibility,4.75
SYNTHETIC DATA,R00052,Operations,<1 year,Chennai,Individual contributor,BU07,credibility,2.625
SYNTHETIC DATA,R00053,Operations,3-5 years,Pune,Manager,BU04,credibility,3.5714285714285716
SYNTHETIC DATA,R00054,Engineering,3-5 years,Aarhus,Team lead,BU17,credibility,4.0
SYNTHETIC DATA,R00055,Sales,<1 year,Remote,Individual contributor,BU12,credibility,4.25
SYNTHETIC DATA,R00056,Sales,1-3 years,Aarhus,Individual contributor,BU20,credibility,3.75
SYNTHETIC DATA,R00057,HR,5-10 years,Aarhus,Individual contributor,BU06,credibility,1.75
SYNTHETIC DATA,R00058,Service,1-3 years,Chennai,Team lead,BU09,credibility,3.75
SYNTHETIC DATA,R00059,Finance,3-5 years,Rostock,Individual contributor,BU14,credibility,2.375
SYNTHETIC DATA,R00060,Sales,<1 year,Chennai,Individual contributor,BU14,credibility,2.75
SYNTHETIC DATA,R00061,Service,<1 year,Hamburg,Individual contributor,BU06,credibility,1.75
SYNTHETIC DATA,R00062,Finance,<1 year,Hamburg,Individual contributor,BU03,credibility,4.428571428571429
SYNTHETIC DATA,R00063,Service,5-10 years,Pune,Individual contributor,BU18,credibility,4.0
SYNTHETIC DATA,R00064,Sales,3-5 years,Hamburg,Individual contributor,BU03,credibility,2.25
SYNTHETIC DATA,R00065,Operations,<1 year,Aarhus,Individual contributor,BU01,credibility,4.25
SYNTHETIC DATA,R00066,Engineering,3-5 years,Hamburg,Individual contributor,BU20,credibility,3.75
SYNTHETIC DATA,R00067,Service,10+ years,Remote,Manager,BU23,credibility,4.125
SYNTHETIC DATA,R00068,Engineering,10+ years,Remote,Manager,BU19,credibility,5.0
SYNTHETIC DATA,R00069,Service,3-5 years,Pune,Team lead,BU10,credibility,2.0
SYNTHETIC DATA,R00070,Supply Chain,10+ years,Pune,Individual contributor,BU04,credibility,3.5
SYNTHETIC DATA,R00071,HR,5-10 years,Hamburg,Individual contributor,BU15,credibility,4.25
SYNTHETIC DATA,R00072,HR,<1 year,Rostock,Individual contributor,BU02,credibility,2.5
